"players","country","max_height"
"http://ex.org/players/D._Leverock","Bermuda","195"
"http://ex.org/players/Wang_Zhifeng","China PR","195"
"http://ex.org/players/Yu_Ziqian","China PR","195"
"http://ex.org/players/C._Maghoma","DR Congo","195"
"http://ex.org/players/M._Nuhu","Ghana","195"
"http://ex.org/players/F._Schram","Iceland","195"
"http://ex.org/players/J._Fjóluson","Iceland","195"
"http://ex.org/players/G._Chatterjee","India","195"
"http://ex.org/players/T._Krapikas","Lithuania","195"
"http://ex.org/players/A._Al_Saluli","Saudi Arabia","195"
"http://ex.org/players/A._Helal","Bahrain","194"
"http://ex.org/players/N._Mihaylov","Bulgaria","194"
"http://ex.org/players/A._Hegazi","Egypt","194"
"http://ex.org/players/Frédéric_Mendy","Guinea Bissau","194"
"http://ex.org/players/A._Kovácsik","Hungary","194"
"http://ex.org/players/N._Bitton","Israel","194"
"http://ex.org/players/D._Gordon","Jamaica","194"
"http://ex.org/players/J._Matt","Jamaica","194"
"http://ex.org/players/G._Dulanto","Peru","194"
"http://ex.org/players/F._Ben_Mustapha","Tunisia","194"
"http://ex.org/players/K._Aouadhi","Tunisia","194"
"http://ex.org/players/C._Sánchez","Cuba","193"
"http://ex.org/players/Nuha","Gambia","193"
"http://ex.org/players/R._Jérez","Guatemala","193"
"http://ex.org/players/B._Fofana","Guinea","193"
"http://ex.org/players/M._Camara","Guinea","193"
"http://ex.org/players/S._Condé","Guinea","193"
"http://ex.org/players/F._Pierrot","Haiti","193"
"http://ex.org/players/A._Musrati","Libya","193"
"http://ex.org/players/O._Cardozo","Paraguay","193"
"http://ex.org/players/A._Bakayoko","Sierra Leone","193"
"http://ex.org/players/N._Mitrović","Slovenia","193"
"http://ex.org/players/S._Handanovič","Slovenia","193"
"http://ex.org/players/M._Nottingham","St Kitts Nevis","193"
"http://ex.org/players/C._Lampe","Bolivia","192"
"http://ex.org/players/S._Fortès","Cape Verde","192"
"http://ex.org/players/S._Makani","Iran","192"
"http://ex.org/players/M._Deville","Luxembourg","192"
"http://ex.org/players/A._M'hamdi","Morocco","192"
"http://ex.org/players/Y._Bounou","Morocco","192"
"http://ex.org/players/Y._En-Nesyri","Morocco","192"
"http://ex.org/players/Z._Feddal","Morocco","192"
"http://ex.org/players/I._Ahmed","United Arab Emirates","192"
"http://ex.org/players/Eddy_Silvestre","Azerbaijan","191"
"http://ex.org/players/C._Yambéré","Central African Rep.","191"
"http://ex.org/players/C._Benschop","Curacao","191"
"http://ex.org/players/J._Arias","Curacao","191"
"http://ex.org/players/N._Etheridge","Philippines","191"
"http://ex.org/players/J._Homawoo","Togo","191"
"http://ex.org/players/G._Ranjitsingh","Trinidad & Tobago","191"
"http://ex.org/players/J._Jones","Trinidad & Tobago","191"
"http://ex.org/players/S._Johnson","Liberia","190"
"http://ex.org/players/G._Gómez","Panama","190"
"http://ex.org/players/O._Al_Soma","Syria","190"
"http://ex.org/players/S._Sunzu","Zambia","190"
"http://ex.org/players/V._Sielis","Cyprus","189"
"http://ex.org/players/H._Goitom","Eritrea","189"
"http://ex.org/players/F._Michel","Lebanon","189"
"http://ex.org/players/A._Russell","Hong Kong","188"
"http://ex.org/players/L._Olum","Kenya","188"
"http://ex.org/players/Pak_Kwang_Ryong","Korea DPR","188"
"http://ex.org/players/L._Taylor","Montserrat","188"
"http://ex.org/players/Mexer","Mozambique","188"
"http://ex.org/players/Buatu","Angola","187"
"http://ex.org/players/T._Bramble","Antigua & Barbuda","187"
"http://ex.org/players/G._Rólantsson_Sørensen","Faroe Islands","187"
"http://ex.org/players/P._Aubameyang","Gabon","187"
"http://ex.org/players/J._Mombris","Madagascar","187"
"http://ex.org/players/M._Munetsi","Zimbabwe","187"
"http://ex.org/players/T._Darikwa","Zimbabwe","187"
"http://ex.org/players/C._Ninga","Chad","186"
"http://ex.org/players/Tano_Bonnin","Dominican Republic","186"
"http://ex.org/players/G._Andonian","Armenia","185"
"http://ex.org/players/Bikoro","Equatorial Guinea","185"
"http://ex.org/players/Pedro_Obiang","Equatorial Guinea","185"
"http://ex.org/players/A._Pierre","Grenada","185"
"http://ex.org/players/K._Marsh-Brown","Guyana","185"
"http://ex.org/players/T._Vancooten","Guyana","185"
"http://ex.org/players/A._Lozano","Honduras","185"
"http://ex.org/players/A._Yasin","Iraq","185"
"http://ex.org/players/J._Meram","Iraq","185"
"http://ex.org/players/A._Rwatubyaye","Rwanda","185"
"http://ex.org/players/D._Malone","Suriname","185"
"http://ex.org/players/A._Yussuf","Tanzania","185"
"http://ex.org/players/K._Bru","Mauritius","184"
"http://ex.org/players/J._Forte","Barbados","183"
"http://ex.org/players/S._Wiseman","Gibraltar","183"
"http://ex.org/players/David_Cardoso","Macau","183"
"http://ex.org/players/M._Eid","Palestine","183"
"http://ex.org/players/S._Chihadeh","Palestine","183"
"http://ex.org/players/Z._Valentin","Puerto Rico","183"
"http://ex.org/players/J._Donacien","St Lucia","183"
"http://ex.org/players/M._Eisa","Sudan","183"
"http://ex.org/players/F._Musaev","Uzbekistan","183"
"http://ex.org/players/A._Shafi","Jordan","182"
"http://ex.org/players/R._Nyambe","Namibia","182"
"http://ex.org/players/G._Gope-Fenepej","New Caledonia","182"
"http://ex.org/players/W._Lautoa","New Caledonia","182"
"http://ex.org/players/Y._Omar","Niger","182"
"http://ex.org/players/J._Borg","Malta","181"
"http://ex.org/players/M._Salazar","Belize","180"
"http://ex.org/players/P._Niyongabire","Burundi","180"
"http://ex.org/players/S._Berahino","Burundi","180"
"http://ex.org/players/Zhou_Dingyang","Chinese Taipei","180"
"http://ex.org/players/D._Pineda","El Salvador","179"
"http://ex.org/players/K._Engel","Kazakhstan","179"
"http://ex.org/players/N._Husin","Afghanistan","178"
"http://ex.org/players/A._Mohamed","Comoros","178"
"http://ex.org/players/S._Bakari","Comoros","178"
"http://ex.org/players/D._Salanovic","Liechtenstein","178"
"http://ex.org/players/G._Mhango","Malawi","178"
"http://ex.org/players/T._Puangchan","Thailand","178"
"http://ex.org/players/M._Azira","Uganda","178"
"http://ex.org/players/Luís_Leal","São Tomé & Príncipe","176"
"http://ex.org/players/A._DeLaGarza","Guam","175"
"http://ex.org/players/A._Askar","Ethiopia","174"
"http://ex.org/players/E._Maulana_Vikri","Indonesia","168"
"http://ex.org/players/Nguyen_Cong_Phuong","Vietnam","168"
