"players","country","max_overall"
"http://ex.org/players/H._Çalhanoğlu","Turkey","80"
"http://ex.org/players/Zé_Luís","Cape Verde","79"
"http://ex.org/players/Wu_Lei","China PR","79"
"http://ex.org/players/Mariano","Dominican Republic","79"
"http://ex.org/players/M._Rashica","Kosovo","79"
"http://ex.org/players/J._Evans","Northern Ireland","79"
"http://ex.org/players/S._Coleman","Republic of Ireland","79"
"http://ex.org/players/M._Samatta","Tanzania","79"
"http://ex.org/players/W._Khazri","Tunisia","79"
"http://ex.org/players/Bastos","Angola","78"
"http://ex.org/players/B._Traoré","Burkina Faso","78"
"http://ex.org/players/E._Bardhi","FYR Macedonia","78"
"http://ex.org/players/V._Wanyama","Kenya","78"
"http://ex.org/players/I._Khune","South Africa","78"
"http://ex.org/players/O._Al_Soma","Syria","78"
"http://ex.org/players/Pedro_Obiang","Equatorial Guinea","77"
"http://ex.org/players/O._Colley","Gambia","77"
"http://ex.org/players/C._Wood","New Zealand","77"
"http://ex.org/players/M._Rojas","New Zealand","77"
"http://ex.org/players/S._Sessègnon","Benin","76"
"http://ex.org/players/I._Popov","Bulgaria","76"
"http://ex.org/players/A._Hutchinson","Canada","76"
"http://ex.org/players/R._Klavan","Estonia","76"
"http://ex.org/players/S._Kverkvelia","Georgia","76"
"http://ex.org/players/Mexer","Mozambique","76"
"http://ex.org/players/M._Nakamba","Zimbabwe","76"
"http://ex.org/players/C._Sánchez","Cuba","75"
"http://ex.org/players/O._Alonso","Cuba","75"
"http://ex.org/players/K._Laifis","Cyprus","75"
"http://ex.org/players/Alfa_Semedo","Guinea Bissau","75"
"http://ex.org/players/A._Elis","Honduras","75"
"http://ex.org/players/A._Jahanbakhsh","Iran","75"
"http://ex.org/players/S._Ghoddos","Iran","75"
"http://ex.org/players/J._Morel","Madagascar","75"
"http://ex.org/players/A._Epureanu","Moldova","75"
"http://ex.org/players/A._Ioniță","Moldova","75"
"http://ex.org/players/N._Etheridge","Philippines","75"
"http://ex.org/players/O._Akhmedov","Uzbekistan","75"
"http://ex.org/players/A._Chumacero","Bolivia","74"
"http://ex.org/players/F._Bachirou","Comoros","74"
"http://ex.org/players/T._Bifouma","Congo","74"
"http://ex.org/players/E._Room","Curacao","74"
"http://ex.org/players/K._Kamara","Sierra Leone","74"
"http://ex.org/players/S._Sunzu","Zambia","74"
"http://ex.org/players/C._Ninga","Chad","73"
"http://ex.org/players/O._Rashid","Iraq","73"
"http://ex.org/players/G._Arlauskis","Lithuania","73"
"http://ex.org/players/A._Godoy","Panama","73"
"http://ex.org/players/S._Al_Dawsari","Saudi Arabia","73"
"http://ex.org/players/A._Helal","Bahrain","72"
"http://ex.org/players/S._Johnson","Liberia","72"
"http://ex.org/players/A._Benali","Libya","72"
"http://ex.org/players/A._Musrati","Libya","72"
"http://ex.org/players/M._Chanot","Luxembourg","72"
"http://ex.org/players/A._Ba","Mauritania","72"
"http://ex.org/players/W._Lautoa","New Caledonia","72"
"http://ex.org/players/R._Sawyers","St Kitts Nevis","72"
"http://ex.org/players/J._Jones","Trinidad & Tobago","72"
"http://ex.org/players/K._Molino","Trinidad & Tobago","72"
"http://ex.org/players/H._Goitom","Eritrea","71"
"http://ex.org/players/C._Songkrasin","Thailand","71"
"http://ex.org/players/K._Eissa","United Arab Emirates","71"
"http://ex.org/players/Eddy_Silvestre","Azerbaijan","70"
"http://ex.org/players/N._Wells","Bermuda","70"
"http://ex.org/players/D._Pineda","El Salvador","70"
"http://ex.org/players/Han_Kwang_Song","Korea DPR","70"
"http://ex.org/players/P._Šteinbors","Latvia","70"
"http://ex.org/players/L._Taylor","Montserrat","70"
"http://ex.org/players/Z._Valentin","Puerto Rico","70"
"http://ex.org/players/Luís_Leal","São Tomé & Príncipe","70"
"http://ex.org/players/M._Romeo","Antigua & Barbuda","69"
"http://ex.org/players/S._Berahino","Burundi","69"
"http://ex.org/players/A._Merkel","Kazakhstan","69"
"http://ex.org/players/J._Edmundsson","Faroe Islands","68"
"http://ex.org/players/T._Ondaan","Guyana","68"
"http://ex.org/players/H._Bazile","Haiti","68"
"http://ex.org/players/A._Shafi","Jordan","68"
"http://ex.org/players/A._Russell","Hong Kong","67"
"http://ex.org/players/M._Starke","Namibia","67"
"http://ex.org/players/R._Nyambe","Namibia","67"
"http://ex.org/players/D._Bizimana","Rwanda","67"
"http://ex.org/players/M._Azira","Uganda","67"
"http://ex.org/players/M._Salazar","Belize","66"
"http://ex.org/players/Zhou_Dingyang","Chinese Taipei","66"
"http://ex.org/players/A._DeLaGarza","Guam","66"
"http://ex.org/players/R._Jérez","Guatemala","66"
"http://ex.org/players/J._Oumari","Lebanon","66"
"http://ex.org/players/K._Bru","Mauritius","66"
"http://ex.org/players/I._Khalili","Palestine","66"
"http://ex.org/players/D._Malone","Suriname","66"
"http://ex.org/players/N._Breeveld","Suriname","66"
"http://ex.org/players/N._Hasler","Liechtenstein","65"
"http://ex.org/players/M._Eisa","Sudan","65"
"http://ex.org/players/H._Amin","Afghanistan","64"
"http://ex.org/players/J._Forte","Barbados","64"
"http://ex.org/players/A._Askar","Ethiopia","64"
"http://ex.org/players/A._Pierre","Grenada","64"
"http://ex.org/players/G._Chatterjee","India","64"
"http://ex.org/players/J._Donacien","St Lucia","64"
"http://ex.org/players/L._Gambin","Malta","63"
"http://ex.org/players/S._Wiseman","Gibraltar","62"
"http://ex.org/players/G._Mhango","Malawi","62"
"http://ex.org/players/Y._Diori","Niger","62"
"http://ex.org/players/Nguyen_Cong_Phuong","Vietnam","62"
"http://ex.org/players/David_Cardoso","Macau","61"
"http://ex.org/players/K._Athiu","South Sudan","59"
"http://ex.org/players/E._Maulana_Vikri","Indonesia","56"
